FiBar,Generated,SIMPoly,DiameterJ
10,,20.8806,12
11,,21.5407,12
21,,22,12
25,,22,12
21,,21.5407,12
10,,22.8035,12
10,,17.088,12
21,,22,12
20,,20.5913,12
10,,16.4924,12
17,,20.0998,12
21,,20.3961,12
25,,20,12
16,,20,12
16,,20.0998,12
21,,20.3961,12
16,,20.8806,12
16,,21.5407,12
17,,22,12
11,,21.5407,12
11,,23.4094,12
21,,16.1245,12
16,,22,12
33,,21.5407,12
11,,16.1245,12
12,,20,12
11,,20,12
21,,20,12
21,,20,12
21,,20.0998,12
11,,20.3961,12
16,,20.8806,12
21,,21.5407,12
11,,22,12
21,,22,12
17,,21.5407,12
11,,24.0832,12
16,,17.088,12
22,,22,12
16,,20.5913,12
18,,16,12
21,,20,12
28,,18.868,12
11,,20,12
17,,20,12
10,,20.0998,12
19,,20.3961,12
12,,20.8806,12
21,,21.5407,12
20,,22,12
37,,21.5407,12
34,,23.3238,12
21,,24.3311,12
16,,17.8885,12
21,,21.5407,12
17,,21.5407,12
26,,17.088,12
11,,20,12
20,,18,12
16,,20,12
19,,20,12
17,,20.0998,12
10,,20.3961,12
27,,20.8806,12
11,,21.5407,12
26,,22,12
21,,22,12
16,,22,12
16,,22,12
10,,26.8328,12
12,,18,12
11,,20.8806,12
11,,20.3961,12
20,,16.4924,12
16,,22,12
30,,18.1108,12
22,,26.8328,12
19,,26.0768,12
38,,18.1108,12
10,,20.3961,12
21,,20.8806,12
20,,16.1245,12
16,,22,12
12,,17.2047,12
11,,26,12
25,,25.6125,12
20,,17.8885,12
9,,20.0998,12
16,,20.8806,12
10,,17.088,12
21,,21.5407,12
16,,17.088,12
17,,25.2982,12
21,,25.4558,12
21,,18.868,12
17,,20,12
31,,20.5913,12
10,,16.4924,12
12,,20.8806,12
11,,16.1245,12
16,,24.7386,12
16,,25.4558,12
16,,22,12
21,,22,12
21,,22,12
20,,21.5407,12
25,,23.3238,12
10,,24.4131,12
17,,25.6125,12
16,,19.6977,12
21,,20,12
21,,21.5407,12
19,,16.1245,12
17,,20.3961,12
21,,17.088,12
19,,24.1661,12
22,,25.4558,12
11,,23.3238,12
10,,22.3607,12
11,,20,12
16,,20,12
32,,20.0998,12
17,,20.3961,12
11,,20.8806,12
27,,21.5407,12
25,,22,12
21,,22,12
16,,22,12
21,,22,12
16,,22.0907,12
21,,22.3607,12
11,,22.8035,12
16,,20,12
10,,20.3961,12
21,,16,12
17,,20.0998,12
17,,16.1245,12
26,,22.0907,12
10,,25.6125,12
20,,24.0832,12
24,,22.8035,12
19,,26.9072,12
23,,22,12
21,,20.8806,12
10,,17.088,12
11,,20,12
21,,17.2047,12
11,,22,12
10,,26.9072,12
11,,22,12
16,,20.8806,12
10,,16.4924,12
11,,20,12
11,,16.9706,12
21,,22,12
16,,26.9072,12
21,,22,12
21,,20.5913,12
24,,16.1245,12
21,,20,12
21,,16.1245,12
17,,22,12
19,,22,12
16,,22,12
21,,22,12
39,,22,12
16,,21.5407,12
11,,22,12
21,,21.5407,12
22,,17.088,12
21,,22,12
16,,17.2047,12
11,,22.0907,12
25,,23.3238,12
22,,22.3607,12
11,,20,12
16,,20,12
26,,20.0998,12
11,,20.3961,12
21,,20.8806,12
21,,21.5407,12
21,,22,12
40,,21.5407,12
12,,22.0907,12
21,,20.3961,12
21,,16.4924,12
10,,21.5407,12
21,,16.9706,12
18,,22.0907,12
7,,22.8035,12
11,,20,12
21,,20,12
16,,20.0998,12
21,,20.3961,12
11,,20.8806,12
21,,21.5407,12
16,,22,12
21,,22,12
16,,21.5407,12
11,,23.3238,12
24,,22.3607,12
26,,20.8806,12
21,,16.1245,12
16,,20.8806,12
16,,16.1245,12
19,,22,12
29,,25.2982,12
27,,20,12
10,,20,12
11,,20.0998,12
21,,20.3961,12
21,,20.8806,12
20,,21.5407,12
21,,22,12
21,,22,12
10,,22,12
11,,22,12
21,,24.0832,12
22,,22.8035,12
21,,23.3238,12
21,,20.8806,12
16,,16,12
21,,20.3961,12
17,,17.2047,12
16,,22,12
22,,24.7386,12
16,,23.3238,12
21,,24.4131,12
22,,20.5913,12
16,,17.088,12
16,,20.0998,12
10,,16.9706,12
30,,22.3607,12
26,,24.1661,12
17,,23.3238,12
28,,25.6125,12
11,,21.5407,12
11,,16.4924,12
11,,20,12
21,,16.1245,12
16,,23.3238,12
37,,22.0907,12
16,,22.8035,12
16,,25.4558,12
21,,20.3961,12
18,,16.1245,12
10,,20,12
25,,17.2047,12
15,,24,12
20,,22,12
10,,22.6274,12
21,,22.3607,12
17,,22.0907,12
17,,22,12
20,,22,12
,,22,12
,,22,12
,,21.5407,12
,,27.7849,12
,,20.8806,12
,,17.088,12
,,20,12
,,16.9706,12
,,24,12
,,22,12
,,23.4094,12
,,22.6274,12
,,23.3238,12
,,22.3607,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,22,12
,,21.5407,12
,,28.8444,12
,,20.8806,12
,,16.4924,12
,,22,12
,,17.2047,12
,,24.1661,12
,,22,12
,,22.8035,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,22,12
,,20.5913,12
,,16.1245,12
,,22,12
,,17.088,12
,,25.0599,12
,,22,12
,,22.3607,12
,,22.3607,12
,,23.3238,12
,,21.5407,12
,,16,12
,,21.5407,12
,,16.1245,12
,,26,12
,,21.5407,12
,,22.0907,12
,,22.8035,12
,,24.0832,12
,,20.5913,12
,,17.088,12
,,20.8806,12
,,17.2047,12
,,26.6833,12
,,20.5913,12
,,22,12
,,24.0832,12
,,25.4558,12
,,26.9072,12
,,21.5407,12
,,16.4924,12
,,20.3961,12
,,16.9706,12
,,27.2029,12
,,20.8806,12
,,22,12
,,27.2029,12
,,28.8444,12
,,22.8035,12
,,22.3607,12
,,22.0907,12
,,22,12
,,22,12
,,22,12
,,22,12
,,22,12
,,21.5407,12
,,20.3961,12
,,16.1245,12
,,20.0998,12
,,16.1245,12
,,27.8568,12
,,20.8806,12
,,22,12
,,28.2843,12
,,26.9072,12
,,25.6125,12
,,24.4131,12
,,23.3238,12
,,22.3607,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,21.5407,12
,,20.8806,12
,,17.088,12
,,20,12
,,17.2047,12
,,28,12
,,20.3961,12
,,21.5407,12
,,20.8806,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,22,12
,,21.5407,12
,,21.5407,12
,,16.4924,12
,,20,12
,,16.9706,12
,,28.6356,12
,,21.5407,12
,,20.8806,12
,,20.3961,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,21.5407,12
,,22,12
,,16.1245,12
,,20,12
,,16.1245,12
,,29.5296,12
,,20.5913,12
,,20.3961,12
,,19.6977,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,21.5407,12
,,22,12
,,17.088,12
,,22,12
,,17.2047,12
,,30,12
,,20.8806,12
,,20.0998,12
,,18.1108,12
,,32.5576,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,22,12
,,21.5407,12
,,22.0907,12
,,16.4924,12
,,22,12
,,16.9706,12
,,30,12
,,20.8806,12
,,21.5407,12
,,18,12
,,32.249,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,21.5407,12
,,23.3238,12
,,16.1245,12
,,22,12
,,16.1245,12
,,30.4631,12
,,20.3961,12
,,20.8806,12
,,18,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,21.5407,12
,,16,12
,,22,12
,,17.2047,12
,,31.305,12
,,21.5407,12
,,20.3961,12
,,17.8885,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,22,12
,,21.5407,12
,,17.8885,12
,,22.0907,12
,,16.9706,12
,,20.5913,12
,,21.5407,12
,,16.1245,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,21.5407,12
,,18,12
,,16.9706,12
,,22.3607,12
,,17.2047,12
,,20.8806,12
,,20.8806,12
,,16.4924,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,22,12
,,21.5407,12
,,18,12
,,16.1245,12
,,17.2047,12
,,22.8035,12
,,17.088,12
,,20.8806,12
,,20.3961,12
,,17.088,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,21.5407,12
,,18,12
,,16.9706,12
,,23.4094,12
,,16.1245,12
,,20.3961,12
,,20.8806,12
,,16.1245,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,21.5407,12
,,18.1108,12
,,16.1245,12
,,17.2047,12
,,24,12
,,17.2047,12
,,21.5407,12
,,20.8806,12
,,17.088,12
,,24.3311,12
,,21.5407,12
,,22.3607,12
,,25.4558,12
,,24.0832,12
,,18.868,12
,,16.9706,12
,,24,12
,,16.9706,12
,,20.5913,12
,,20.3961,12
,,16.1245,12
,,20.8806,12
,,22.3607,12
,,21.6333,12
,,22.8035,12
,,27.7849,12
,,24,12
,,22.8035,12
,,20,12
,,16.1245,12
,,17.2047,12
,,24.4131,12
,,16.1245,12
,,28.0713,12
,,27.7849,12
,,20.8806,12
,,20.0998,12
,,16.4924,12
,,19.6977,12
,,26.9072,12
,,22.6274,12
,,24.0832,12
,,22,12
,,22,12
,,21.5407,12
,,19.799,12
,,16.9706,12
,,25.6125,12
,,17.2047,12
,,26.6833,12
,,20.8806,12
,,21.5407,12
,,17.088,12
,,18,12
,,25.4558,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,21.5407,12
,,16.1245,12
,,17.2047,12
,,16.9706,12
,,25.2982,12
,,25.2982,12
,,20.3961,12
,,20.8806,12
,,16.1245,12
,,15.2315,12
,,16.1245,12
,,25.4558,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,21.5407,12
,,16.9706,12
,,17.8885,12
,,18.1108,12
,,16.1245,12
,,24.1661,12
,,24.1661,12
,,21.5407,12
,,20.3961,12
,,17.088,12
,,14.1421,12
,,24.0832,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,22,12
,,21.5407,12
,,17.8885,12
,,18.868,12
,,20,12
,,17.2047,12
,,23.3238,12
,,23.3238,12
,,20.5913,12
,,21.5407,12
,,16.1245,12
,,13.4164,12
,,24,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,21.5407,12
,,19.6977,12
,,20.5913,12
,,21.6333,12
,,22.8035,12
,,16.9706,12
,,21.6333,12
,,22.8035,12
,,20.8806,12
,,20.8806,12
,,17.088,12
,,12.8062,12
,,23.3238,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,22,12
,,21.5407,12
,,16.1245,12
,,21.2603,12
,,22.3607,12
,,20.8806,12
,,20.3961,12
,,16.1245,12
,,11.3137,12
,,22,12
,,23.3238,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,24.0832,12
,,17.2047,12
,,20,12
,,21.2603,12
,,20.3961,12
,,20.8806,12
,,16.4924,12
,,11.3137,12
,,22,12
,,22.3607,12
,,21.6333,12
,,22.8035,12
,,24,12
,,22.8035,12
,,16.9706,12
,,19.799,12
,,21.2603,12
,,21.5407,12
,,20.8806,12
,,17.088,12
,,11.6619,12
,,22,12
,,22.0907,12
,,22,12
,,22,12
,,21.5407,12
,,25.4558,12
,,17.2047,12
,,18.4391,12
,,20,12
,,20.5913,12
,,20.3961,12
,,16.1245,12
,,10.7703,12
,,22,12
,,22,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,21.5407,12
,,24.0832,12
,,17.088,12
,,17.2047,12
,,20.5913,12
,,20.8806,12
,,20.0998,12
,,17.088,12
,,10.198,12
,,22,12
,,22,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,21.5407,12
,,24.0832,12
,,16.1245,12
,,17.8885,12
,,21.5407,12
,,20.8806,12
,,21.5407,12
,,16.1245,12
,,11.6619,12
,,22,12
,,20.0998,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,22,12
,,21.5407,12
,,22.6274,12
,,17.2047,12
,,17.088,12
,,20.5913,12
,,20.3961,12
,,20.8806,12
,,17.088,12
,,10.7703,12
,,21.5407,12
,,20.3961,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,21.5407,12
,,22.8035,12
,,16.9706,12
,,16.4924,12
,,21.5407,12
,,21.5407,12
,,20.3961,12
,,16.1245,12
,,10.198,12
,,20.8806,12
,,20.8806,12
,,21.2603,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,20.8806,12
,,21.5407,12
,,22,12
,,22,12
,,21.5407,12
,,21.6333,12
,,16.1245,12
,,16.1245,12
,,20.5913,12
,,20.5913,12
,,20.8806,12
,,16.4924,12
,,11.6619,12
,,20.3961,12
,,20.8806,12
,,20,12
,,20,12
,,20,12
,,20.0998,12
,,20.3961,12
,,22.3607,12
,,17.2047,12
,,16,12
,,21.5407,12
,,20.8806,12
,,20.8806,12
,,17.088,12
,,11.3137,12
,,20.0998,12
,,20.5913,12
,,18.868,12
,,18.9737,12
,,21.6333,12
,,16.9706,12
,,16,12
,,20.5913,12
,,20.8806,12
,,20.3961,12
,,16.1245,12
,,12.1655,12
,,20,12
,,21.5407,12
,,17.8885,12
,,21.2603,12
,,16.1245,12
,,16,12
,,20.8806,12
,,20.3961,12
,,20.0998,12
,,15.6205,12
,,12.8062,12
,,20,12
,,20.3961,12
,,18,12
,,22.6274,12
,,17.2047,12
,,17.8885,12
,,20.5913,12
,,21.5407,12
,,21.5407,12
,,16.9706,12
,,13.4164,12
,,20,12
,,20.8806,12
,,18,12
,,22.6274,12
,,16.9706,12
,,18,12
,,20.5913,12
,,20.5913,12
,,20.8806,12
,,16.9706,12
,,14.4222,12
,,22,12
,,20.8806,12
,,18,12
,,24.0832,12
,,16.1245,12
,,18,12
,,20.5913,12
,,20.8806,12
,,20.3961,12
,,17.2047,12
,,15.2315,12
,,22,12
,,20.5913,12
,,17.8885,12
,,25.4558,12
,,17.2047,12
,,18,12
,,20.5913,12
,,20.8806,12
,,21.5407,12
,,18.868,12
,,16.4924,12
,,22,12
,,21.5407,12
,,17.088,12
,,26,12
,,16.9706,12
,,18,12
,,20.5913,12
,,20.3961,12
,,20.8806,12
,,18.1108,12
,,22,12
,,20.3961,12
,,16.4924,12
,,17.2047,12
,,18,12
,,20.5913,12
,,21.5407,12
,,20.3961,12
,,22,12
,,20.8806,12
,,16.1245,12
,,17.088,12
,,18,12
,,20.5913,12
,,20.5913,12
,,20.8806,12
,,22,12
,,20.8806,12
,,17.088,12
,,21.6333,12
,,20.5913,12
,,16.1245,12
,,18,12
,,20.5913,12
,,20.8806,12
,,20.8806,12
,,22,12
,,20.5913,12
,,16.4924,12
,,20.3961,12
,,20,12
,,18.868,12
,,17.2047,12
,,18.868,12
,,20.5913,12
,,20.8806,12
,,20.3961,12
,,22,12
,,21.5407,12
,,16.1245,12
,,18,12
,,18.1108,12
,,17.2047,12
,,16.9706,12
,,20,12
,,20.5913,12
,,20.3961,12
,,20.0998,12
,,22,12
,,20.5913,12
,,16,12
,,17.088,12
,,16.9706,12
,,19.799,12
,,20.5913,12
,,21.5407,12
,,21.5407,12
,,22,12
,,21.5407,12
,,17.088,12
,,16.1245,12
,,17.088,12
,,17.2047,12
,,19.799,12
,,20.5913,12
,,20.5913,12
,,20.8806,12
,,20.0998,12
,,21.5407,12
,,20.3961,12
,,16.4924,12
,,24.4131,12
,,16.1245,12
,,17.2047,12
,,17.8885,12
,,21.2603,12
,,20.8806,12
,,21.5407,12
,,20.3961,12
,,19.6977,12
,,20.8806,12
,,20.8806,12
,,16.1245,12
,,23.3238,12
,,16.9706,12
,,18.9737,12
,,22.0907,12
,,20.3961,12
,,20.8806,12
,,20.8806,12
,,18,12
,,20.3961,12
,,20.8806,12
,,17.088,12
,,24,12
,,16.1245,12
,,17.2047,12
,,18.868,12
,,23.3238,12
,,21.5407,12
,,20.3961,12
,,20.8806,12
,,18,12
,,20.0998,12
,,20.5913,12
,,16.4924,12
,,23.4094,12
,,16.9706,12
,,19.6977,12
,,21.5407,12
,,20.5913,12
,,21.5407,12
,,20.3961,12
,,18,12
,,20,12
,,21.5407,12
,,16.1245,12
,,22.8035,12
,,16.1245,12
,,17.2047,12
,,22.3607,12
,,24,12
,,21.5407,12
,,20.5913,12
,,20.0998,12
,,18,12
,,20,12
,,20.3961,12
,,16,12
,,22.3607,12
,,16.9706,12
,,20.5913,12
,,21.5407,12
,,21.5407,12
,,17.8885,12
,,20,12
,,20.8806,12
,,17.088,12
,,22.0907,12
,,16.1245,12
,,17.2047,12
,,21.5407,12
,,20.8806,12
,,20.8806,12
,,16.1245,12
,,22,12
,,20.8806,12
,,16.4924,12
,,22,12
,,16.9706,12
,,17.2047,12
,,20.5913,12
,,20.3961,12
,,20.3961,12
,,16.4924,12
,,22,12
,,20.5913,12
,,16.1245,12
,,22,12
,,17.088,12
,,20.8806,12
,,21.5407,12
,,21.5407,12
,,17.088,12
,,22,12
,,21.5407,12
,,17.088,12
,,22,12
,,16.1245,12
,,17.2047,12
,,20.5913,12
,,20.5913,12
,,20.8806,12
,,16.1245,12
,,22,12
,,20.3961,12
,,16.4924,12
,,22,12
,,16.9706,12
,,25.6125,12
,,20.5913,12
,,21.5407,12
,,20.3961,12
,,17.088,12
,,22,12
,,20.8806,12
,,16.1245,12
,,21.5407,12
,,16.1245,12
,,17.2047,12
,,24,12
,,20.5913,12
,,20.8806,12
,,20.8806,12
,,17.8885,12
,,22,12
,,20.8806,12
,,17.088,12
,,20.8806,12
