 ,Radius,Bimodal_2_m02_S1_Radius Histo.csv,Bimodal_m06_S1_Radius Histo.csv,Bimodal_m10_S1_Radius Histo.csv,Biomodal_m02_S1_Radius Histo.csv,Sum_of_Frequencies,Average Cumulative Diameter,Cumulative Diameter SD,Cumulative Diameter Skewness,Cumulative Diameter Kurtosis
38,37,58,74,66,78,276,0,0,0,0
39,38,96,58,64,104,322,0,0,0,0
40,39,73,29,76,91,269,0,0,0,0
41,40,79,38,95,76,288,0,0,0,0
42,41,68,17,57,38,180,0,0,0,0
43,42,30,25,54,27,136,0,0,0,0
44,43,39,10,35,69,153,0,0,0,0
45,44,59,8,42,20,129,0,0,0,0
46,45,38,12,35,6,91,0,0,0,0
47,46,33,12,36,5,86,0,0,0,0
48,47,21,13,43,21,98,0,0,0,0
49,48,10,10,34,6,60,0,0,0,0
50,49,8,27,15,1,51,0,0,0,0
51,50,9,11,14,19,53,0,0,0,0
52,51,23,2,15,8,48,0,0,0,0
53,52,8,1,8,7,24,0,0,0,0
54,53,7,2,5,4,18,0,0,0,0
55,54,6,2,11,16,35,0,0,0,0
56,55,5,2,30,9,46,0,0,0,0
57,56,0,1,20,1,22,0,0,0,0
58,57,0,3,16,5,24,0,0,0,0
59,58,0,1,14,0,15,0,0,0,0
60,59,0,3,20,0,23,0,0,0,0
61,60,0,1,14,0,15,0,0,0,0
62,61,0,0,1,1,2,0,0,0,0
63,62,0,0,0,4,4,0,0,0,0
64,63,0,0,5,4,9,0,0,0,0
65,64,0,0,8,3,11,0,0,0,0
66,65,0,0,1,3,4,0,0,0,0
67,66,0,0,7,3,10,0,0,0,0
68,67,0,0,23,8,31,0,0,0,0
69,68,0,0,15,13,28,0,0,0,0
70,69,0,0,3,6,9,0,0,0,0
71,70,0,0,1,8,9,0,0,0,0
72,71,0,0,0,3,3,0,0,0,0
73,72,0,0,1,3,4,0,0,0,0
74,73,0,0,1,0,1,0,0,0,0
75,74,0,0,20,0,20,0,0,0,0
76,75,0,0,28,0,28,0,0,0,0
77,76,0,0,8,0,8,0,0,0,0
78,77,0,0,2,0,2,0,0,0,0
79,78,0,0,2,0,2,0,0,0,0
80,79,0,0,2,0,2,0,0,0,0
81,80,0,0,2,0,2,0,0,0,0
82,81,0,0,5,0,5,0,0,0,0
83,82,0,0,5,0,5,0,0,0,0
84,83,0,0,9,0,9,0,0,0,0
85,84,0,0,12,0,12,0,0,0,0
86,85,0,0,8,0,8,0,0,0,0
87,86,0,0,2,0,2,0,0,0,0
88,87,0,0,2,0,2,0,0,0,0
89,88,0,0,1,0,1,0,0,0,0
90,89,0,0,0,0,0,0,0,0,0
91,90,0,0,0,0,0,0,0,0,0
92,91,0,0,0,0,0,0,0,0,0
93,92,0,0,0,0,0,0,0,0,0
94,93,0,0,0,0,0,0,0,0,0
95,94,0,0,0,0,0,0,0,0,0
96,95,0,0,1,0,1,0,0,0,0
97,96,0,0,7,0,7,0,0,0,0
98,97,0,0,3,0,3,0,0,0,0
99,98,0,0,4,0,4,0,0,0,0
100,99,0,0,0,0,0,0,0,0,0
101,100,0,0,0,0,0,0,0,0,0
102,101,0,0,0,0,0,0,0,0,0
103,102,0,0,0,0,0,0,0,0,0
104,103,0,0,0,0,0,0,0,0,0
105,104,0,0,0,0,0,0,0,0,0
106,105,0,0,0,0,0,0,0,0,0
107,106,0,0,0,0,0,0,0,0,0
108,107,0,0,0,0,0,0,0,0,0
109,108,0,0,0,0,0,0,0,0,0
110,109,0,0,0,0,0,0,0,0,0
111,110,0,0,0,0,0,0,0,0,0
112,111,0,0,0,0,0,0,0,0,0
113,112,0,0,0,0,0,0,0,0,0
114,113,0,0,0,0,0,0,0,0,0
115,114,0,0,0,0,0,0,0,0,0
116,115,0,0,0,0,0,0,0,0,0
117,116,0,0,0,0,0,0,0,0,0
118,117,0,0,0,0,0,0,0,0,0
119,118,0,0,0,0,0,0,0,0,0
120,119,0,0,0,0,0,0,0,0,0
121,120,0,0,0,0,0,0,0,0,0
122,121,0,0,0,0,0,0,0,0,0
123,122,0,0,0,0,0,0,0,0,0
124,123,0,0,0,0,0,0,0,0,0
125,124,0,0,0,0,0,0,0,0,0
126,125,0,0,0,0,0,0,0,0,0
127,126,0,0,0,0,0,0,0,0,0
128,127,0,0,0,0,0,0,0,0,0
129,128,0,0,0,0,0,0,0,0,0
130,129,0,0,0,0,0,0,0,0,0
131,130,0,0,0,0,0,0,0,0,0
132,131,0,0,0,0,0,0,0,0,0
133,132,0,0,0,0,0,0,0,0,0
134,133,0,0,0,0,0,0,0,0,0
135,134,0,0,0,0,0,0,0,0,0
136,135,0,0,0,0,0,0,0,0,0
137,136,0,0,0,0,0,0,0,0,0
138,137,0,0,0,0,0,0,0,0,0
139,138,0,0,0,0,0,0,0,0,0
140,139,0,0,0,0,0,0,0,0,0
141,140,0,0,0,0,0,0,0,0,0
142,141,0,0,0,0,0,0,0,0,0
143,142,0,0,0,0,0,0,0,0,0
144,143,0,0,0,0,0,0,0,0,0
145,144,0,0,0,0,0,0,0,0,0
146,145,0,0,0,0,0,0,0,0,0
147,146,0,0,0,0,0,0,0,0,0
148,147,0,0,0,0,0,0,0,0,0
149,148,0,0,0,0,0,0,0,0,0
150,149,0,0,0,0,0,0,0,0,0
151,150,0,0,0,0,0,0,0,0,0
152,151,0,0,0,0,0,0,0,0,0
153,152,0,0,0,0,0,0,0,0,0
154,153,0,0,0,0,0,0,0,0,0
155,154,0,0,0,0,0,0,0,0,0
156,155,0,0,0,0,0,0,0,0,0
157,156,0,0,0,0,0,0,0,0,0
158,157,0,0,0,0,0,0,0,0,0
159,158,0,0,0,0,0,0,0,0,0
160,159,0,0,0,0,0,0,0,0,0
161,160,0,0,0,0,0,0,0,0,0
162,161,0,0,0,0,0,0,0,0,0
163,162,0,0,0,0,0,0,0,0,0
164,163,0,0,0,0,0,0,0,0,0
165,164,0,0,0,0,0,0,0,0,0
166,165,0,0,0,0,0,0,0,0,0
167,166,0,0,0,0,0,0,0,0,0
168,167,0,0,0,0,0,0,0,0,0
169,168,0,0,0,0,0,0,0,0,0
170,169,0,0,0,0,0,0,0,0,0
171,170,0,0,0,0,0,0,0,0,0
172,171,0,0,0,0,0,0,0,0,0
173,172,0,0,0,0,0,0,0,0,0
174,173,0,0,0,0,0,0,0,0,0
175,174,0,0,0,0,0,0,0,0,0
176,175,0,0,0,0,0,0,0,0,0
177,176,0,0,0,0,0,0,0,0,0
178,177,0,0,0,0,0,0,0,0,0
179,178,0,0,0,0,0,0,0,0,0
180,179,0,0,0,0,0,0,0,0,0
181,180,0,0,0,0,0,0,0,0,0
182,181,0,0,0,0,0,0,0,0,0
183,182,0,0,0,0,0,0,0,0,0
184,183,0,0,0,0,0,0,0,0,0
185,184,0,0,0,0,0,0,0,0,0
186,185,0,0,0,0,0,0,0,0,0
187,186,0,0,0,0,0,0,0,0,0
188,187,0,0,0,0,0,0,0,0,0
189,188,0,0,0,0,0,0,0,0,0
190,189,0,0,0,0,0,0,0,0,0
191,190,0,0,0,0,0,0,0,0,0
192,191,0,0,0,0,0,0,0,0,0
193,192,0,0,0,0,0,0,0,0,0
194,193,0,0,0,0,0,0,0,0,0
195,194,0,0,0,0,0,0,0,0,0
196,195,0,0,0,0,0,0,0,0,0
197,196,0,0,0,0,0,0,0,0,0
198,197,0,0,0,0,0,0,0,0,0
199,198,0,0,0,0,0,0,0,0,0
200,199,0,0,0,0,0,0,0,0,0
201,200,0,0,0,0,0,0,0,0,0
202,201,0,0,0,0,0,0,0,0,0
203,202,0,0,0,0,0,0,0,0,0
204,203,0,0,0,0,0,0,0,0,0
205,204,0,0,0,0,0,0,0,0,0
206,205,0,0,0,0,0,0,0,0,0
207,206,0,0,0,0,0,0,0,0,0
208,207,0,0,0,0,0,0,0,0,0
209,208,0,0,0,0,0,0,0,0,0
210,209,0,0,0,0,0,0,0,0,0
211,210,0,0,0,0,0,0,0,0,0
212,211,0,0,0,0,0,0,0,0,0
213,212,0,0,0,0,0,0,0,0,0
214,213,0,0,0,0,0,0,0,0,0
215,214,0,0,0,0,0,0,0,0,0
216,215,0,0,0,0,0,0,0,0,0
217,216,0,0,0,0,0,0,0,0,0
218,217,0,0,0,0,0,0,0,0,0
219,218,0,0,0,0,0,0,0,0,0
220,219,0,0,0,0,0,0,0,0,0
221,220,0,0,0,0,0,0,0,0,0
222,221,0,0,0,0,0,0,0,0,0
223,222,0,0,0,0,0,0,0,0,0
224,223,0,0,0,0,0,0,0,0,0
225,224,0,0,0,0,0,0,0,0,0
226,225,0,0,0,0,0,0,0,0,0
227,226,0,0,0,0,0,0,0,0,0
228,227,0,0,0,0,0,0,0,0,0
229,228,0,0,0,0,0,0,0,0,0
230,229,0,0,0,0,0,0,0,0,0
231,230,0,0,0,0,0,0,0,0,0
232,231,0,0,0,0,0,0,0,0,0
233,232,0,0,0,0,0,0,0,0,0
234,233,0,0,0,0,0,0,0,0,0
235,234,0,0,0,0,0,0,0,0,0
236,235,0,0,0,0,0,0,0,0,0
237,236,0,0,0,0,0,0,0,0,0
238,237,0,0,0,0,0,0,0,0,0
239,238,0,0,0,0,0,0,0,0,0
240,239,0,0,0,0,0,0,0,0,0
241,240,0,0,0,0,0,0,0,0,0
242,241,0,0,0,0,0,0,0,0,0
243,242,0,0,0,0,0,0,0,0,0
244,243,0,0,0,0,0,0,0,0,0
245,244,0,0,0,0,0,0,0,0,0
246,245,0,0,0,0,0,0,0,0,0
247,246,0,0,0,0,0,0,0,0,0
248,247,0,0,0,0,0,0,0,0,0
249,248,0,0,0,0,0,0,0,0,0
250,249,0,0,0,0,0,0,0,0,0
251,250,0,0,0,0,0,0,0,0,0
252,251,0,0,0,0,0,0,0,0,0
253,252,0,0,0,0,0,0,0,0,0
254,253,0,0,0,0,0,0,0,0,0
255,254,0,0,0,0,0,0,0,0,0
256,255,0,0,0,0,0,0,0,0,0
